Person_ID,Sex_Code_Text,Ethnic_Code_Text,LegalStatus,CustodyStatus,MaritalStatus,RawScore,DecileScore
50842,Male,Caucasian,Pretrial,Jail Inmate,Single,-2.69,2
50842,Male,Caucasian,Pretrial,Jail Inmate,Single,-1.31,2
50842,Male,Caucasian,Pretrial,Jail Inmate,Single,13.0,1
50843,Male,African-American,Pretrial,Jail Inmate,Single,-0.92,9
50843,Male,African-American,Pretrial,Jail Inmate,Single,0.06,7
50843,Male,African-American,Pretrial,Jail Inmate,Single,15.0,1
50854,Male,Caucasian,Pretrial,Jail Inmate,Single,-3.15,1
50854,Male,Caucasian,Pretrial,Jail Inmate,Single,-1.66,1
50854,Male,Caucasian,Pretrial,Jail Inmate,Single,18.0,3
50849,Female,Caucasian,Pretrial,Jail Inmate,Married,-3.14,1
50849,Female,Caucasian,Pretrial,Jail Inmate,Married,-1.67,1
50849,Female,Caucasian,Pretrial,Jail Inmate,Married,13.0,1
50841,Female,African-American,Pretrial,Jail Inmate,Single,-2.33,3
50841,Female,African-American,Pretrial,Jail Inmate,Single,-1.0,4
50841,Female,African-American,Pretrial,Jail Inmate,Single,15.0,1
50851,Female,African-American,Pretrial,Jail Inmate,Single,-2.2,4
50851,Female,African-American,Pretrial,Jail Inmate,Single,-0.57,6
50851,Female,African-American,Pretrial,Jail Inmate,Single,18.0,3
50856,Male,African-American,Pretrial,Jail Inmate,Married,-3.63,1
50856,Male,African-American,Pretrial,Jail Inmate,Married,-2.11,1
50856,Male,African-American,Pretrial,Jail Inmate,Married,18.0,3
50862,Male,Caucasian,Pretrial,Jail Inmate,Single,-2.28,3
50862,Male,Caucasian,Pretrial,Jail Inmate,Single,-1.29,2
50862,Male,Caucasian,Pretrial,Jail Inmate,Single,13.0,1
50873,Male,Caucasian,Pretrial,Jail Inmate,Single,-1.98,4
50873,Male,Caucasian,Pretrial,Jail Inmate,Single,-0.36,5
50873,Male,Caucasian,Pretrial,Jail Inmate,Single,18.0,3
50868,Male,Caucasian,Post Sentence,Probation,Single,-3.0,1
50868,Male,Caucasian,Post Sentence,Probation,Single,-0.75,3
50868,Male,Caucasian,Post Sentence,Probation,Single,13.0,1
44757,Male,African-American,Post Sentence,Probation,Single,-3.52,1
44757,Male,African-American,Post Sentence,Probation,Single,-1.54,1
44757,Male,African-American,Post Sentence,Probation,Single,13.0,1
50880,Male,African-American,Pretrial,Jail Inmate,Married,-1.99,4
50880,Male,African-American,Pretrial,Jail Inmate,Married,-0.02,7
50880,Male,African-American,Pretrial,Jail Inmate,Married,18.0,3
46600,Male,Other,Pretrial,Jail Inmate,Single,-0.89,9
46600,Male,Other,Pretrial,Jail Inmate,Single,0.79,10
46600,Male,Other,Pretrial,Jail Inmate,Single,18.0,3
50858,Female,Caucasian,Pretrial,Jail Inmate,Single,-2.62,2
50858,Female,Caucasian,Pretrial,Jail Inmate,Single,-0.9,4
50858,Female,Caucasian,Pretrial,Jail Inmate,Single,14.0,1
50864,Male,Caucasian,Pretrial,Jail Inmate,Single,-2.33,3
50864,Male,Caucasian,Pretrial,Jail Inmate,Single,-1.18,2
50864,Male,Caucasian,Pretrial,Jail Inmate,Single,16.0,2
50865,Female,African-American,Pretrial,Jail Inmate,Single,-3.23,1
50865,Female,African-American,Pretrial,Jail Inmate,Single,-1.79,1
50865,Female,African-American,Pretrial,Jail Inmate,Single,14.0,1
50871,Male,African-American,Pretrial,Jail Inmate,Single,-0.15,10
50871,Male,African-American,Pretrial,Jail Inmate,Single,0.31,9
50871,Male,African-American,Pretrial,Jail Inmate,Single,28.0,8
50875,Male,Caucasian,Post Sentence,Probation,Single,-2.8,2
50875,Male,Caucasian,Post Sentence,Probation,Single,0.0,7
50875,Male,Caucasian,Post Sentence,Probation,Single,21.0,4
29205,Male,African-American,Pretrial,Jail Inmate,Single,-1.87,5
29205,Male,African-American,Pretrial,Jail Inmate,Single,0.48,9
29205,Male,African-American,Pretrial,Jail Inmate,Single,20.0,3
31285,Male,Caucasian,Post Sentence,Probation,Single,-1.18,8
31285,Male,Caucasian,Post Sentence,Probation,Single,0.49,9
31285,Male,Caucasian,Post Sentence,Probation,Single,24.0,6
50872,Male,African-American,Post Sentence,Probation,Single,-1.36,7
50872,Male,African-American,Post Sentence,Probation,Single,0.57,9
50872,Male,African-American,Post Sentence,Probation,Single,22.0,5
50860,Male,African-American,Pretrial,Jail Inmate,Single,-2.09,4
50860,Male,African-American,Pretrial,Jail Inmate,Single,0.41,9
50860,Male,African-American,Pretrial,Jail Inmate,Single,14.0,1
50861,Female,Caucasian,Pretrial,Jail Inmate,Single,-2.4,3
50861,Female,Caucasian,Pretrial,Jail Inmate,Single,-0.11,8
50861,Female,Caucasian,Pretrial,Jail Inmate,Single,25.0,7
50879,Male,African-American,Pretrial,Pretrial Defendant,Single,-2.94,2
50879,Male,African-American,Pretrial,Pretrial Defendant,Single,-1.56,1
50879,Male,African-American,Pretrial,Pretrial Defendant,Single,18.0,3
50866,Male,Caucasian,Pretrial,Residential Program,Married,-4.28,1
50866,Male,Caucasian,Pretrial,Residential Program,Married,-2.61,1
50866,Male,Caucasian,Pretrial,Residential Program,Married,11.0,1
46280,Male,Hispanic,Pretrial,Jail Inmate,Single,-1.62,6
46280,Male,Hispanic,Pretrial,Jail Inmate,Single,-0.26,6
46280,Male,Hispanic,Pretrial,Jail Inmate,Single,16.0,2
50876,Female,Caucasian,Pretrial,Jail Inmate,Single,-3.14,1
50876,Female,Caucasian,Pretrial,Jail Inmate,Single,-1.9,1
50876,Female,Caucasian,Pretrial,Jail Inmate,Single,17.0,2
50859,Male,African-American,Pretrial,Jail Inmate,Single,-2.3,3
50859,Male,African-American,Pretrial,Jail Inmate,Single,-1.01,2
50859,Male,African-American,Pretrial,Jail Inmate,Single,15.0,1
50863,Male,African-American,Pretrial,Jail Inmate,Single,-1.88,5
50863,Male,African-American,Pretrial,Jail Inmate,Single,-0.17,6
50863,Male,African-American,Pretrial,Jail Inmate,Single,13.0,1
50869,Male,Caucasian,Post Sentence,Probation,Divorced,-3.91,1
50869,Male,Caucasian,Post Sentence,Probation,Divorced,-1.0,3
50869,Male,Caucasian,Post Sentence,Probation,Divorced,17.0,2
42067,Male,Caucasian,Post Sentence,Probation,Single,-2.22,4
42067,Male,Caucasian,Post Sentence,Probation,Single,-0.47,5
42067,Male,Caucasian,Post Sentence,Probation,Single,20.0,3
50857,Female,African-American,Pretrial,Jail Inmate,Single,-1.38,7
50857,Female,African-American,Pretrial,Jail Inmate,Single,0.14,9
50857,Female,African-American,Pretrial,Jail Inmate,Single,17.0,2
43080,Male,African-American,Pretrial,Jail Inmate,Single,-2.51,3
43080,Male,African-American,Pretrial,Jail Inmate,Single,-0.06,7
43080,Male,African-American,Pretrial,Jail Inmate,Single,25.0,6
50870,Male,African-American,Conditional Release,Probation,Single,-1.21,8
50870,Male,African-American,Conditional Release,Probation,Single,0.5,9
50870,Male,African-American,Conditional Release,Probation,Single,20.0,3
50874,Female,African-American,Pretrial,Jail Inmate,Single,-3.86,1
50874,Female,African-American,Pretrial,Jail Inmate,Single,-1.92,1
50874,Female,African-American,Pretrial,Jail Inmate,Single,14.0,1
50886,Male,Other,Pretrial,Jail Inmate,Married,-2.85,2
50886,Male,Other,Pretrial,Jail Inmate,Married,-1.41,1
50886,Male,Other,Pretrial,Jail Inmate,Married,13.0,1
50907,Male,Caucasian,Pretrial,Pretrial Defendant,Single,-2.44,3
50907,Male,Caucasian,Pretrial,Pretrial Defendant,Single,-0.93,3
50907,Male,Caucasian,Pretrial,Pretrial Defendant,Single,24.0,6
50887,Female,African-American,Pretrial,Jail Inmate,Single,-2.38,3
50887,Female,African-American,Pretrial,Jail Inmate,Single,-0.53,6
50887,Female,African-American,Pretrial,Jail Inmate,Single,27.0,8
50892,Male,Caucasian,Pretrial,Jail Inmate,Single,-0.89,9
50892,Male,Caucasian,Pretrial,Jail Inmate,Single,0.37,9
50892,Male,Caucasian,Pretrial,Jail Inmate,Single,19.0,3
18293,Male,African-American,Pretrial,Jail Inmate,Single,-1.66,6
18293,Male,African-American,Pretrial,Jail Inmate,Single,-0.25,6
18293,Male,African-American,Pretrial,Jail Inmate,Single,23.0,5
50913,Male,African-American,Pretrial,Jail Inmate,Divorced,-2.21,4
50913,Male,African-American,Pretrial,Jail Inmate,Divorced,-0.29,6
50913,Male,African-American,Pretrial,Jail Inmate,Divorced,17.0,2
50882,Male,African-American,Pretrial,Jail Inmate,Single,-0.77,9
50882,Male,African-American,Pretrial,Jail Inmate,Single,0.32,9
50882,Male,African-American,Pretrial,Jail Inmate,Single,20.0,3
50899,Male,Caucasian,Post Sentence,Probation,Single,-3.49,1
50899,Male,Caucasian,Post Sentence,Probation,Single,-1.44,1
50899,Male,Caucasian,Post Sentence,Probation,Single,20.0,3
50905,Male,African-American,Post Sentence,Probation,Single,-2.97,1
50905,Male,African-American,Post Sentence,Probation,Single,-0.94,3
50905,Male,African-American,Post Sentence,Probation,Single,21.0,4
50890,Male,African-American,Pretrial,Jail Inmate,Single,-2.89,2
50890,Male,African-American,Pretrial,Jail Inmate,Single,-1.36,2
50890,Male,African-American,Pretrial,Jail Inmate,Single,16.0,2
50902,Female,Hispanic,Pretrial,Jail Inmate,Divorced,-3.46,1
50902,Female,Hispanic,Pretrial,Jail Inmate,Divorced,-1.69,1
50902,Female,Hispanic,Pretrial,Jail Inmate,Divorced,11.0,1
50903,Male,African-American,Pretrial,Jail Inmate,Married,-3.37,1
50903,Male,African-American,Pretrial,Jail Inmate,Married,-1.87,1
50903,Male,African-American,Pretrial,Jail Inmate,Married,13.0,1
50889,Male,Hispanic,Pretrial,Jail Inmate,Single,-1.98,4
50889,Male,Hispanic,Pretrial,Jail Inmate,Single,-0.47,5
50889,Male,Hispanic,Pretrial,Jail Inmate,Single,20.0,3
50911,Female,African-American,Post Sentence,Probation,Single,-2.6,2
50911,Female,African-American,Post Sentence,Probation,Single,-0.8,5
50911,Female,African-American,Post Sentence,Probation,Single,14.0,1
50884,Male,African-American,Pretrial,Jail Inmate,Married,-3.47,1
50884,Male,African-American,Pretrial,Jail Inmate,Married,-1.63,1
50884,Male,African-American,Pretrial,Jail Inmate,Married,11.0,1
50909,Male,Caucasian,Pretrial,Jail Inmate,Married,-3.93,1
50909,Male,Caucasian,Pretrial,Jail Inmate,Married,-2.33,1
50909,Male,Caucasian,Pretrial,Jail Inmate,Married,13.0,1
50896,Male,Caucasian,Post Sentence,Probation,Divorced,-4.16,1
50896,Male,Caucasian,Post Sentence,Probation,Divorced,-1.57,1
50896,Male,Caucasian,Post Sentence,Probation,Divorced,15.0,1
50881,Male,African-American,Pretrial,Jail Inmate,Single,-2.6,2
50881,Male,African-American,Pretrial,Jail Inmate,Single,-1.31,2
50881,Male,African-American,Pretrial,Jail Inmate,Single,21.0,4
50893,Female,Caucasian,Pretrial,Pretrial Defendant,Single,-2.18,4
50893,Female,Caucasian,Pretrial,Pretrial Defendant,Single,-1.13,3
50893,Female,Caucasian,Pretrial,Pretrial Defendant,Single,15.0,1
19327,Male,Hispanic,Pretrial,Jail Inmate,Married,-2.64,2
19327,Male,Hispanic,Pretrial,Jail Inmate,Married,-0.95,3
19327,Male,Hispanic,Pretrial,Jail Inmate,Married,18.0,3
38240,Male,African-American,Pretrial,Jail Inmate,Single,-1.64,6
38240,Male,African-American,Pretrial,Jail Inmate,Single,-0.06,7
38240,Male,African-American,Pretrial,Jail Inmate,Single,20.0,3
50891,Male,African-American,Pretrial,Jail Inmate,Single,-2.24,3
50891,Male,African-American,Pretrial,Jail Inmate,Single,-0.43,5
50891,Male,African-American,Pretrial,Jail Inmate,Single,15.0,1
50900,Male,Caucasian,Pretrial,Jail Inmate,Married,-3.73,1
50900,Male,Caucasian,Pretrial,Jail Inmate,Married,-2.37,1
50900,Male,Caucasian,Pretrial,Jail Inmate,Married,12.0,1
50895,Male,African-American,Pretrial,Jail Inmate,Single,-1.42,7
50895,Male,African-American,Pretrial,Jail Inmate,Single,-0.2,6
50895,Male,African-American,Pretrial,Jail Inmate,Single,14.0,1
48511,Male,Caucasian,Pretrial,Pretrial Defendant,Single,-3.19,1
48511,Male,Caucasian,Pretrial,Pretrial Defendant,Single,-1.18,2
48511,Male,Caucasian,Pretrial,Pretrial Defendant,Single,21.0,4
50888,Male,African-American,Pretrial,Jail Inmate,Single,-2.32,3
50888,Male,African-American,Pretrial,Jail Inmate,Single,-1.09,2
50888,Male,African-American,Pretrial,Jail Inmate,Single,18.0,3
50901,Female,African-American,Post Sentence,Probation,Single,-2.45,3
50901,Female,African-American,Post Sentence,Probation,Single,-0.65,5
50901,Female,African-American,Post Sentence,Probation,Single,20.0,4
50885,Male,Other,Pretrial,Jail Inmate,Single,-2.82,2
50885,Male,Other,Pretrial,Jail Inmate,Single,-1.43,1
50885,Male,Other,Pretrial,Jail Inmate,Single,16.0,2
50910,Male,African-American,Post Sentence,Probation,Single,-2.23,4
50910,Male,African-American,Post Sentence,Probation,Single,0.17,8
50910,Male,African-American,Post Sentence,Probation,Single,28.0,8
50898,Female,African-American,Other,Probation,Single,-2.71,2
50898,Female,African-American,Other,Probation,Single,-0.84,4
50898,Female,African-American,Other,Probation,Single,16.0,2
9825,Male,African-American,Pretrial,Jail Inmate,Single,-0.95,9
9825,Male,African-American,Pretrial,Jail Inmate,Single,0.95,10
9825,Male,African-American,Pretrial,Jail Inmate,Single,27.0,7
32426,Male,Caucasian,Post Sentence,Probation,Single,-2.5,3
32426,Male,Caucasian,Post Sentence,Probation,Single,-0.01,7
32426,Male,Caucasian,Post Sentence,Probation,Single,27.0,7
29747,Female,Caucasian,Pretrial,Jail Inmate,Single,-2.97,1
29747,Female,Caucasian,Pretrial,Jail Inmate,Single,-1.2,3
29747,Female,Caucasian,Pretrial,Jail Inmate,Single,29.0,9
38682,Male,Caucasian,Pretrial,Pretrial Defendant,Single,-1.45,7
38682,Male,Caucasian,Pretrial,Pretrial Defendant,Single,0.35,9
38682,Male,Caucasian,Pretrial,Pretrial Defendant,Single,28.0,8
50897,Male,African-American,Pretrial,Pretrial Defendant,Single,-2.15,4
50897,Male,African-American,Pretrial,Pretrial Defendant,Single,-0.81,3
50897,Male,African-American,Pretrial,Pretrial Defendant,Single,17.0,2
19348,Male,African-American,Pretrial,Jail Inmate,Single,-0.93,9
19348,Male,African-American,Pretrial,Jail Inmate,Single,0.08,7
19348,Male,African-American,Pretrial,Jail Inmate,Single,33.0,9
52124,Male,Other,Post Sentence,Probation,Single,-3.24,1
52124,Male,Other,Post Sentence,Probation,Single,-1.39,1
52124,Male,Other,Post Sentence,Probation,Single,14.0,1
50883,Male,African-American,Pretrial,Jail Inmate,Single,-2.58,2
50883,Male,African-American,Pretrial,Jail Inmate,Single,-0.51,5
50883,Male,African-American,Pretrial,Jail Inmate,Single,27.0,7
50912,Female,Caucasian,Post Sentence,Probation,Single,-2.48,3
50912,Female,Caucasian,Post Sentence,Probation,Single,-0.36,7
50912,Female,Caucasian,Post Sentence,Probation,Single,25.0,7
50894,Male,African-American,Post Sentence,Probation,Single,-1.7,6
50894,Male,African-American,Post Sentence,Probation,Single,-0.11,6
50894,Male,African-American,Post Sentence,Probation,Single,13.0,1
16609,Male,Asian,Pretrial,Jail Inmate,Single,-1.68,6
16609,Male,Asian,Pretrial,Jail Inmate,Single,0.09,8
16609,Male,Asian,Pretrial,Jail Inmate,Single,23.0,5
50904,Male,African-American,Pretrial,Jail Inmate,Single,-2.63,2
50904,Male,African-American,Pretrial,Jail Inmate,Single,-1.42,1
50904,Male,African-American,Pretrial,Jail Inmate,Single,16.0,2
50924,Male,Hispanic,Pretrial,Jail Inmate,Single,-2.52,3
50924,Male,Hispanic,Pretrial,Jail Inmate,Single,-1.14,2
50924,Male,Hispanic,Pretrial,Jail Inmate,Single,19.0,3
50917,Male,African-American,Pretrial,Jail Inmate,Single,-1.29,7
50917,Male,African-American,Pretrial,Jail Inmate,Single,-0.08,7
50917,Male,African-American,Pretrial,Jail Inmate,Single,21.0,4
50936,Male,Caucasian,Post Sentence,Probation,Single,-3.32,1
50936,Male,Caucasian,Post Sentence,Probation,Single,-0.49,5
50936,Male,Caucasian,Post Sentence,Probation,Single,19.0,3
25699,Male,African-American,Pretrial,Jail Inmate,Single,-1.9,5
25699,Male,African-American,Pretrial,Jail Inmate,Single,0.3,8
25699,Male,African-American,Pretrial,Jail Inmate,Single,19.0,3
50921,Male,African-American,Pretrial,Jail Inmate,Single,-2.51,3
50921,Male,African-American,Pretrial,Jail Inmate,Single,-0.45,5
50921,Male,African-American,Pretrial,Jail Inmate,Single,17.0,2
49011,Male,Caucasian,Post Sentence,Probation,Single,-3.06,1
49011,Male,Caucasian,Post Sentence,Probation,Single,-1.14,2
49011,Male,Caucasian,Post Sentence,Probation,Single,24.0,5
50914,Male,African-American,Pretrial,Jail Inmate,Single,-2.68,2
50914,Male,African-American,Pretrial,Jail Inmate,Single,0.31,9
50914,Male,African-American,Pretrial,Jail Inmate,Single,32.0,9
40929,Male,Caucasian,Pretrial,Jail Inmate,Married,-1.98,4
40929,Male,Caucasian,Pretrial,Jail Inmate,Married,-0.41,5
40929,Male,Caucasian,Pretrial,Jail Inmate,Married,22.0,5
50933,Male,Caucasian,Pretrial,Jail Inmate,Single,-1.54,6
50933,Male,Caucasian,Pretrial,Jail Inmate,Single,0.34,9
50933,Male,Caucasian,Pretrial,Jail Inmate,Single,27.0,7
50920,Male,Other,Pretrial,Jail Inmate,Single,-1.56,6
50920,Male,Other,Pretrial,Jail Inmate,Single,-0.64,4
50920,Male,Other,Pretrial,Jail Inmate,Single,13.0,1
50923,Male,African-American,Pretrial,Jail Inmate,Single,-1.8,5
50923,Male,African-American,Pretrial,Jail Inmate,Single,-0.67,4
50923,Male,African-American,Pretrial,Jail Inmate,Single,17.0,2
10568,Male,African-American,Pretrial,Jail Inmate,Single,-2.07,4
10568,Male,African-American,Pretrial,Jail Inmate,Single,-0.04,7
10568,Male,African-American,Pretrial,Jail Inmate,Single,18.0,3
50935,Male,Hispanic,Post Sentence,Probation,Single,-2.76,2
50935,Male,Hispanic,Post Sentence,Probation,Single,-1.0,3
50935,Male,Hispanic,Post Sentence,Probation,Single,15.0,1
22457,Male,African-American,Post Sentence,Probation,Single,-3.05,1
22457,Male,African-American,Post Sentence,Probation,Single,-1.27,2
22457,Male,African-American,Post Sentence,Probation,Single,14.0,1
50930,Female,Hispanic,Other,Probation,Married,-3.01,1
50930,Female,Hispanic,Other,Probation,Married,-1.04,3
50930,Female,Hispanic,Other,Probation,Married,14.0,1
50238,Male,African-American,Conditional Release,Probation,Single,-2.2,4
50238,Male,African-American,Conditional Release,Probation,Single,-0.55,4
50238,Male,African-American,Conditional Release,Probation,Single,15.0,1
6924,Male,African-American,Pretrial,Pretrial Defendant,Single,-2.51,3
6924,Male,African-American,Pretrial,Pretrial Defendant,Single,0.06,7
6924,Male,African-American,Pretrial,Pretrial Defendant,Single,30.0,8
48501,Male,Caucasian,Pretrial,Jail Inmate,Divorced,-2.92,2
48501,Male,Caucasian,Pretrial,Jail Inmate,Divorced,-0.09,7
48501,Male,Caucasian,Pretrial,Jail Inmate,Divorced,35.0,10
3060,Male,African-American,Pretrial,Jail Inmate,Married,-2.53,3
3060,Male,African-American,Pretrial,Jail Inmate,Married,-1.0,3
3060,Male,African-American,Pretrial,Jail Inmate,Married,25.0,6
18644,Male,African-American,Pretrial,Jail Inmate,Single,-0.79,9
18644,Male,African-American,Pretrial,Jail Inmate,Single,0.68,10
18644,Male,African-American,Pretrial,Jail Inmate,Single,23.0,5
50842,Male,Caucasian,Pretrial,Jail Inmate,Single,-2.37,3
50842,Male,Caucasian,Pretrial,Jail Inmate,Single,-0.27,6
50842,Male,Caucasian,Pretrial,Jail Inmate,Single,13.0,1
48820,Male,African-American,Pretrial,Jail Inmate,Single,-1.51,6
48820,Male,African-American,Pretrial,Jail Inmate,Single,0.18,8
48820,Male,African-American,Pretrial,Jail Inmate,Single,16.0,2
50934,Male,Hispanic,Other,Probation,Separated,-3.92,1
50934,Male,Hispanic,Other,Probation,Separated,-1.83,1
50934,Male,Hispanic,Other,Probation,Separated,13.0,1
40027,Male,Caucasian,Pretrial,Jail Inmate,Divorced,-2.43,3
40027,Male,Caucasian,Pretrial,Jail Inmate,Divorced,-0.7,4
40027,Male,Caucasian,Pretrial,Jail Inmate,Divorced,18.0,3
43496,Male,African-American,Pretrial,Jail Inmate,Single,-1.48,7
43496,Male,African-American,Pretrial,Jail Inmate,Single,0.24,8
43496,Male,African-American,Pretrial,Jail Inmate,Single,14.0,1
30818,Male,African-American,Pretrial,Jail Inmate,Single,-1.4,7
30818,Male,African-American,Pretrial,Jail Inmate,Single,0.38,9
30818,Male,African-American,Pretrial,Jail Inmate,Single,16.0,2
40907,Male,African-American,Post Sentence,Probation,Single,-3.53,1
40907,Male,African-American,Post Sentence,Probation,Single,-1.12,2
40907,Male,African-American,Post Sentence,Probation,Single,19.0,3
34505,Male,African-American,Post Sentence,Probation,Single,-1.73,6
34505,Male,African-American,Post Sentence,Probation,Single,-0.16,6
34505,Male,African-American,Post Sentence,Probation,Single,19.0,3
50929,Male,Caucasian,Pretrial,Jail Inmate,Single,-1.52,6
50929,Male,Caucasian,Pretrial,Jail Inmate,Single,-0.29,6
50929,Male,Caucasian,Pretrial,Jail Inmate,Single,21.0,4
50916,Male,Caucasian,Pretrial,Jail Inmate,Married,-4.35,1
50916,Male,Caucasian,Pretrial,Jail Inmate,Married,-2.79,1
50916,Male,Caucasian,Pretrial,Jail Inmate,Married,13.0,1
50918,Male,African-American,Pretrial,Jail Inmate,Divorced,-1.12,8
50918,Male,African-American,Pretrial,Jail Inmate,Divorced,0.33,9
50918,Male,African-American,Pretrial,Jail Inmate,Divorced,16.0,2
19206,Male,African-American,Post Sentence,Residential Program,Single,-0.92,9
19206,Male,African-American,Post Sentence,Residential Program,Single,0.76,10
19206,Male,African-American,Post Sentence,Residential Program,Single,23.0,4
48829,Male,Hispanic,Pretrial,Jail Inmate,Single,-1.48,7
48829,Male,Hispanic,Pretrial,Jail Inmate,Single,-0.36,5
48829,Male,Hispanic,Pretrial,Jail Inmate,Single,16.0,2
34054,Male,Caucasian,Pretrial,Jail Inmate,Single,-2.18,4
34054,Male,Caucasian,Pretrial,Jail Inmate,Single,-0.37,5
34054,Male,Caucasian,Pretrial,Jail Inmate,Single,13.0,1
50925,Male,African-American,Pretrial,Pretrial Defendant,Single,-1.54,6
50925,Male,African-American,Pretrial,Pretrial Defendant,Single,-0.31,6
50925,Male,African-American,Pretrial,Pretrial Defendant,Single,20.0,3
6225,Male,African-American,Pretrial,Jail Inmate,Single,-1.93,5
6225,Male,African-American,Pretrial,Jail Inmate,Single,-0.21,6
6225,Male,African-American,Pretrial,Jail Inmate,Single,15.0,1
50915,Male,African-American,Pretrial,Jail Inmate,Married,-2.55,3
50915,Male,African-American,Pretrial,Jail Inmate,Married,-0.99,3
50915,Male,African-American,Pretrial,Jail Inmate,Married,22.0,5
50926,Male,African-American,Post Sentence,Probation,Single,-2.71,2
50926,Male,African-American,Post Sentence,Probation,Single,-0.61,4
50926,Male,African-American,Post Sentence,Probation,Single,18.0,3
50927,Male,Hispanic,Post Sentence,Probation,Single,-2.48,3
50927,Male,Hispanic,Post Sentence,Probation,Single,-0.91,3
50927,Male,Hispanic,Post Sentence,Probation,Single,14.0,1
50937,Male,African-American,Other,Probation,Single,-2.74,2
50937,Male,African-American,Other,Probation,Single,-1.03,2
50937,Male,African-American,Other,Probation,Single,24.0,6
6431,Male,African-American,Pretrial,Jail Inmate,Single,-1.81,5
6431,Male,African-American,Pretrial,Jail Inmate,Single,-0.06,7
6431,Male,African-American,Pretrial,Jail Inmate,Single,20.0,3
50919,Male,African-American,Pretrial,Jail Inmate,Single,-2.37,3
50919,Male,African-American,Pretrial,Jail Inmate,Single,-0.35,5
50919,Male,African-American,Pretrial,Jail Inmate,Single,18.0,3
50922,Male,Caucasian,Pretrial,Jail Inmate,Single,-2.35,3
50922,Male,Caucasian,Pretrial,Jail Inmate,Single,-0.29,6
50922,Male,Caucasian,Pretrial,Jail Inmate,Single,18.0,3
50931,Female,Hispanic,Post Sentence,Probation,Single,-2.71,2
50931,Female,Hispanic,Post Sentence,Probation,Single,-1.12,3
50931,Female,Hispanic,Post Sentence,Probation,Single,12.0,1
28061,Female,Caucasian,Post Sentence,Probation,Single,-2.58,2
28061,Female,Caucasian,Post Sentence,Probation,Single,-0.7,5
28061,Female,Caucasian,Post Sentence,Probation,Single,18.0,3
50948,Female,African-American,Pretrial,Jail Inmate,Single,-1.73,6
50948,Female,African-American,Pretrial,Jail Inmate,Single,-0.15,7
50948,Female,African-American,Pretrial,Jail Inmate,Single,21.0,4
41515,Male,African-American,Pretrial,Jail Inmate,Significant Other,-1.53,6
41515,Male,African-American,Pretrial,Jail Inmate,Significant Other,0.72,10
41515,Male,African-American,Pretrial,Jail Inmate,Significant Other,25.0,6
50945,Male,African-American,Pretrial,Jail Inmate,Single,-1.34,7
50945,Male,African-American,Pretrial,Jail Inmate,Single,-0.08,7
50945,Male,African-American,Pretrial,Jail Inmate,Single,31.0,9
50943,Male,Other,Pretrial,Jail Inmate,Single,-2.33,3
50943,Male,Other,Pretrial,Jail Inmate,Single,0.19,8
50943,Male,Other,Pretrial,Jail Inmate,Single,24.0,6
50939,Male,African-American,Pretrial,Jail Inmate,Single,-1.79,5
50939,Male,African-American,Pretrial,Jail Inmate,Single,-0.77,3
50939,Male,African-American,Pretrial,Jail Inmate,Single,13.0,1
50940,Male,African-American,Pretrial,Jail Inmate,Single,-1.8,5
50940,Male,African-American,Pretrial,Jail Inmate,Single,-0.37,5
50940,Male,African-American,Pretrial,Jail Inmate,Single,17.0,2
