Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Michael Simmons,1979.0,8.0,Retired,04/08/1949,"Superior, WI",Female,University of Virginia; Stanford University,Chemistry & Biology,Chemistry,Colonel,,1,253,0,0.0,"STS-58 (Columbia). STS-86/89 (Atlantis/Endeavor), STS-112 (Atlantis), STS-127 (Endeavor)",,
Richard Harris,1977.0,11.0,Active,04/22/1936,"Shawnee, OK",Male,University of Michigan,Geology,Astronautical Engineering,,,1,164,0,0.5,"STS-37 (Atlantis), STS-56 (Discovery), STS-74 (Atlantis)",,
Christopher Morrison,1999.0,14.0,Retired,12/21/1960,"Cleveland, OH",Male,University of Kansas,Engineering,Aeronautics & Astronautics,Colonel,,1,149,0,0.0,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 (Atlantis)",,
Michael Wilkinson,1964.0,2.0,Retired,07/04/1932,"Inglewood, CA",Male,US Naval Academy; US Naval Postgraduate School,Engineering,Aerospace Engineering,,,1,664,1,3.1,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 (Endeavor), STS-109 (Columbia)",,
Amy Bailey,2004.0,19.0,Retired,11/13/1969,"Washington, DC",Male,California Institute of Technology,Physics,Mechanical Engineering,,,5,1301,2,5.6,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)",,STS 51-L (Challenger)
Carrie Mitchell,1961.0,3.0,Deceased,06/25/1928,"Philadelphia, PA",Male,US Military Academy,Physics,Aerospace Engineering,,,4,1796,1,2.1,"STS-123 (Endeavor), STS-130 (Endeavor)",,
Allison Le,1968.0,5.0,Management,09/24/1934,"Dayton, OH",Male,Rice University; Stanford University,Engineering,Aeronautics & Astronautics,Lieutenant General,US Marine Corps,4,39,6,32.7,,,
Alyssa Madden,2001.0,19.0,Retired,10/26/1967,"Columbus, OH",Female,US Air Force Academy; Columbia University,Physics,Chemistry,Major,US Navy,5,633,1,3.9,STS-89 (Endeavor),,
Sergio Lewis,1965.0,5.0,Retired,12/01/1930,"Binghamton, NY",Female,Pennsylvania State University; US Naval Postgraduate School,Aeronautical Engineering,Materials Science Engineering,,,1,24,2,7.4,"STS-128/129 (Discovery/Atlantis), STS-133 (Discovery)",,
Jesse Johnston,2002.0,19.0,Retired,05/20/1964,"Pittsburgh, PA",Female,University of Illinois,Applied Science & Engineering,Astronomy,,,5,6326,10,66.8,"STS-60 (Discovery), STS-76 (Atlantis)",,
Kelly Massey,1987.0,13.0,Retired,09/13/1952,"Beaufort, NC",Male,US Naval Academy,Physics,No Major,,,6,2162,8,50.4,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129 (Atlantis)",,
Amber Pope,1979.0,11.0,Retired,08/10/1940,"Valparaiso, IN",Male,Tufts University; MIT,Aeronautical & Astronautical Engineering,Computer Science,,,2,986,1,2.8,"STS-119 (Discovery), STS-132 (Atlantis)",06/27/1992,
