age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,age_group,all
26,Private,183077,Assoc_voc,11,Never_married,Adm_clerical,Own_child,White,Female,0,0,40,United_States,30_and_younger,yes
60,Private,308608,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,0,0,50,United_States,30_to_60,yes
29,Private,128777,7th_8th,4,Divorced,Craft_repair,Unmarried,White,Female,0,0,55,United_States,30_and_younger,yes
20,Private,173724,Some_college,10,Never_married,Handlers_cleaners,Own_child,White,Male,0,0,20,United_States,30_and_younger,yes
28,Private,124905,7th_8th,4,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,30,United_States,30_and_younger,yes
27,Private,156516,Some_college,10,Married_civ_spouse,Adm_clerical,Wife,Black,Female,0,2377,20,United_States,30_and_younger,yes
46,Self_emp_not_inc,317253,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,25,United_States,30_to_60,yes
46,Federal_gov,340718,11th,7,Widowed,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,30_to_60,yes
50,Local_gov,196307,Some_college,10,Married_civ_spouse,Craft_repair,Husband,White,Male,7688,0,40,United_States,30_to_60,yes
48,State_gov,55863,Doctorate,16,Married_civ_spouse,Prof_specialty,Wife,White,Female,0,1902,46,United_States,30_to_60,yes
42,Self_emp_inc,348886,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,45,United_States,30_to_60,yes
42,Self_emp_not_inc,269733,Masters,14,Married_civ_spouse,Sales,Husband,White,Male,99999,0,80,United_States,30_to_60,yes
64,Private,43738,Doctorate,16,Widowed,Prof_specialty,Not_in_family,White,Male,0,0,80,United_States,60_and_older,yes
63,Private,154526,Some_college,10,Widowed,Other_service,Not_in_family,White,Female,0,0,40,United_States,60_and_older,yes
53,Self_emp_inc,188067,Some_college,10,Widowed,Sales,Unmarried,White,Female,0,0,40,United_States,30_to_60,yes
43,Private,346321,Masters,14,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,45,United_States,30_to_60,yes
35,Self_emp_not_inc,112271,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,50,United_States,30_to_60,yes
30,Private,270577,HS_grad,9,Separated,Adm_clerical,Unmarried,White,Female,0,0,40,United_States,60_and_older,yes
26,Private,34402,Bachelors,13,Never_married,Adm_clerical,Not_in_family,White,Male,0,0,45,United_States,30_and_younger,yes
27,Private,132963,HS_grad,9,Married_civ_spouse,Handlers_cleaners,Husband,Black,Male,0,0,40,United_States,30_and_younger,yes
48,Private,113598,Some_college,10,Separated,Adm_clerical,Other_relative,Black,Female,0,0,40,United_States,30_to_60,yes
42,State_gov,367292,Some_college,10,Married_civ_spouse,Protective_serv,Husband,White,Male,0,0,40,United_States,30_to_60,yes
41,Private,196344,1st_4th,2,Married_civ_spouse,Sales,Husband,White,Male,0,0,50,Mexico,30_to_60,yes
38,Private,141550,10th,6,Divorced,Craft_repair,Not_in_family,White,Male,0,0,40,United_States,30_to_60,yes
24,Private,450695,Assoc_acdm,12,Never_married,Sales,Not_in_family,White,Male,0,0,35,United_States,30_and_younger,yes
35,Private,99146,HS_grad,9,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,50,United_States,30_to_60,yes
37,Private,109633,Bachelors,13,Married_civ_spouse,Prof_specialty,Wife,White,Female,0,0,16,United_States,30_to_60,yes
23,Private,218445,5th_6th,3,Never_married,Priv_house_serv,Unmarried,White,Female,0,0,12,Mexico,30_and_younger,yes
59,Self_emp_not_inc,128105,HS_grad,9,Married_civ_spouse,Farming_fishing,Husband,White,Male,0,0,35,United_States,30_to_60,yes
21,Private,194861,HS_grad,9,Never_married,Machine_op_inspct,Own_child,White,Male,0,0,40,United_States,30_and_younger,yes
47,Private,137354,Some_college,10,Married_civ_spouse,Craft_repair,Husband,Amer_Indian_Eskimo,Male,0,0,40,United_States,30_to_60,yes
29,Self_emp_not_inc,190636,Some_college,10,Married_civ_spouse,Craft_repair,Husband,Amer_Indian_Eskimo,Male,0,1485,60,United_States,30_and_younger,yes
20,Private,323573,HS_grad,9,Never_married,Other_service,Own_child,White,Female,0,0,20,United_States,30_and_younger,yes
36,Private,33001,HS_grad,9,Divorced,Farming_fishing,Unmarried,White,Male,0,0,50,United_States,30_to_60,yes
69,Private,125437,HS_grad,9,Divorced,Other_service,Not_in_family,White,Female,0,0,32,United_States,60_and_older,yes
24,Private,124971,HS_grad,9,Never_married,Sales,Not_in_family,White,Male,0,0,38,United_States,30_and_younger,yes
61,Private,172037,HS_grad,9,Married_civ_spouse,Other_service,Husband,White,Male,0,0,40,United_States,60_and_older,yes
23,Private,111450,12th,8,Never_married,Other_service,Unmarried,Black,Male,0,0,38,United_States,30_and_younger,yes
35,Private,206951,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,0,0,40,United_States,30_to_60,yes
21,Private,89991,Some_college,10,Never_married,Adm_clerical,Own_child,White,Female,0,0,40,United_States,30_and_younger,yes
29,Private,194200,Some_college,10,Never_married,Machine_op_inspct,Own_child,White,Male,0,0,45,United_States,30_and_younger,yes
58,Private,104613,Assoc_acdm,12,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,50,United_States,30_to_60,yes
30,Private,55291,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,40,United_States,60_and_older,yes
30,Self_emp_not_inc,87561,Some_college,10,Never_married,Adm_clerical,Not_in_family,White,Female,0,0,60,United_States,60_and_older,yes
36,Private,185099,Prof_school,15,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,55,United_States,30_to_60,yes
24,Private,200295,Some_college,10,Never_married,Craft_repair,Not_in_family,White,Male,0,0,40,United_States,30_and_younger,yes
60,Private,142494,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,White,Male,15024,0,40,United_States,30_to_60,yes
36,Private,111128,HS_grad,9,Separated,Craft_repair,Own_child,White,Male,0,0,40,United_States,30_to_60,yes
51,Private,219599,HS_grad,9,Married_civ_spouse,Machine_op_inspct,Wife,White,Female,0,0,40,United_States,30_to_60,yes
62,Private,152148,9th,5,Married_civ_spouse,Other_service,Husband,White,Male,0,0,40,United_States,60_and_older,yes
32,Private,251243,Some_college,10,Divorced,Exec_managerial,Not_in_family,White,Female,0,0,50,United_States,30_to_60,yes
40,Private,182217,Some_college,10,Married_civ_spouse,Other_service,Wife,White,Female,0,0,40,Scotland,30_to_60,yes
44,Private,310255,Some_college,10,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,60,United_States,30_to_60,yes
58,Private,365511,Some_college,10,Divorced,Machine_op_inspct,Not_in_family,Other,Male,0,0,40,Mexico,30_to_60,yes
37,Private,112660,9th,5,Divorced,Craft_repair,Own_child,White,Male,0,0,35,United_States,30_to_60,yes
28,?,200819,7th_8th,4,Divorced,?,Own_child,White,Male,0,0,84,United_States,30_and_younger,yes
28,Private,177955,11th,7,Married_civ_spouse,Adm_clerical,Wife,White,Female,0,0,40,Mexico,30_and_younger,yes
22,Private,201729,9th,5,Never_married,Handlers_cleaners,Other_relative,White,Male,0,0,30,United_States,30_and_younger,yes
35,Private,93034,HS_grad,9,Never_married,Machine_op_inspct,Not_in_family,Asian_Pac_Islander,Male,0,0,40,Cambodia,30_to_60,yes
24,Private,165054,Assoc_voc,11,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,30_and_younger,yes
62,Private,116104,HS_grad,9,Widowed,Adm_clerical,Not_in_family,White,Female,0,0,20,Germany,60_and_older,yes
33,Federal_gov,339388,Assoc_acdm,12,Divorced,Other_service,Unmarried,White,Male,0,0,40,United_States,30_to_60,yes
20,Private,337639,Some_college,10,Never_married,Sales,Own_child,White,Male,0,0,40,United_States,30_and_younger,yes
42,Private,212737,9th,5,Separated,Craft_repair,Unmarried,Black,Male,0,0,40,United_States,30_to_60,yes
54,Private,111469,Some_college,10,Divorced,Exec_managerial,Not_in_family,White,Female,0,0,40,United_States,30_to_60,yes
41,Private,279297,HS_grad,9,Never_married,Sales,Not_in_family,Black,Female,0,0,60,United_States,30_to_60,yes
29,Private,165360,Assoc_voc,11,Never_married,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,30_and_younger,yes
57,Self_emp_inc,123053,Prof_school,15,Married_civ_spouse,Prof_specialty,Husband,Asian_Pac_Islander,Male,15024,0,50,India,30_to_60,yes
36,Private,101460,HS_grad,9,Never_married,Other_service,Not_in_family,White,Female,0,0,18,United_States,30_to_60,yes
23,Private,145389,Some_college,10,Married_civ_spouse,Sales,Wife,White,Female,0,0,40,United_States,30_and_younger,yes
64,Private,144182,HS_grad,9,Widowed,Prof_specialty,Not_in_family,White,Female,0,0,23,United_States,60_and_older,yes
46,Private,321327,Some_college,10,Married_civ_spouse,Transport_moving,Husband,White,Male,7298,0,45,United_States,30_to_60,yes
34,Local_gov,172664,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,30_to_60,yes
44,Private,79531,Assoc_voc,11,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,30_to_60,yes
43,Private,99185,HS_grad,9,Divorced,Adm_clerical,Unmarried,White,Female,0,0,58,United_States,30_to_60,yes
61,Private,298400,Bachelors,13,Divorced,Sales,Not_in_family,Black,Male,4787,0,48,United_States,60_and_older,yes
62,Private,290754,10th,6,Widowed,Handlers_cleaners,Not_in_family,White,Female,0,0,40,United_States,60_and_older,yes
42,Private,134220,Assoc_voc,11,Divorced,Exec_managerial,Own_child,Amer_Indian_Eskimo,Female,0,0,40,United_States,30_to_60,yes
68,Private,107627,Some_college,10,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,15,United_States,60_and_older,yes
25,Private,104097,Bachelors,13,Married_civ_spouse,Craft_repair,Husband,White,Male,2829,0,60,United_States,30_and_younger,yes
41,Self_emp_not_inc,200574,Prof_school,15,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,1977,60,United_States,30_to_60,yes
51,Private,332243,Bachelors,13,Divorced,Prof_specialty,Not_in_family,White,Male,0,0,45,United_States,30_to_60,yes
47,Local_gov,138342,11th,7,Married_civ_spouse,Transport_moving,Husband,White,Male,3411,0,40,El_Salvador,30_to_60,yes
49,Private,149949,HS_grad,9,Divorced,Craft_repair,Not_in_family,White,Male,0,1876,40,United_States,30_to_60,yes
40,Private,126701,Bachelors,13,Married_spouse_absent,Exec_managerial,Not_in_family,White,Male,0,0,40,United_States,30_to_60,yes
70,Private,642830,HS_grad,9,Divorced,Protective_serv,Not_in_family,White,Female,0,0,32,United_States,60_and_older,yes
44,Private,296728,Masters,14,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,40,United_States,30_to_60,yes
36,Private,130620,Bachelors,13,Married_civ_spouse,Prof_specialty,Wife,Asian_Pac_Islander,Female,0,0,35,Philippines,30_to_60,yes
24,Private,293324,HS_grad,9,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,40,United_States,30_and_younger,yes
33,Self_emp_inc,139057,HS_grad,9,Married_civ_spouse,Exec_managerial,Husband,Asian_Pac_Islander,Male,0,0,84,Taiwan,30_to_60,yes
21,Private,241367,Some_college,10,Never_married,Adm_clerical,Own_child,White,Male,0,0,10,United_States,30_and_younger,yes
63,Self_emp_not_inc,78383,HS_grad,9,Married_civ_spouse,Farming_fishing,Husband,White,Male,0,0,45,United_States,60_and_older,yes
73,Self_emp_not_inc,161251,HS_grad,9,Widowed,Craft_repair,Not_in_family,White,Male,0,0,24,United_States,60_and_older,yes
50,Private,204447,Masters,14,Married_civ_spouse,Exec_managerial,Husband,White,Male,15024,0,65,United_States,30_to_60,yes
71,Private,93202,HS_grad,9,Divorced,Other_service,Not_in_family,White,Female,0,0,16,United_States,60_and_older,yes
22,Private,124454,Some_college,10,Never_married,Sales,Not_in_family,White,Male,0,0,30,United_States,30_and_younger,yes
20,Private,34590,Some_college,10,Never_married,Farming_fishing,Own_child,White,Male,0,0,60,United_States,30_and_younger,yes
40,Private,141245,Bachelors,13,Married_civ_spouse,Other_service,Wife,White,Female,0,0,40,Puerto_Rico,30_to_60,yes
58,Private,142326,Bachelors,13,Divorced,Prof_specialty,Not_in_family,White,Female,0,0,50,United_States,30_to_60,yes
56,Private,186556,Some_college,10,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,50,United_States,30_to_60,yes
41,Local_gov,210259,Masters,14,Never_married,Prof_specialty,Not_in_family,Black,Female,0,0,40,United_States,30_to_60,yes
32,Private,222221,Assoc_voc,11,Married_civ_spouse,Prof_specialty,Husband,White,Male,7298,0,42,United_States,30_to_60,yes
18,?,113185,11th,7,Never_married,?,Own_child,White,Male,0,0,25,United_States,30_and_younger,yes
60,?,366531,Assoc_voc,11,Widowed,?,Not_in_family,White,Female,0,0,40,United_States,30_to_60,yes
66,?,210750,Some_college,10,Married_civ_spouse,?,Husband,White,Male,0,0,50,United_States,60_and_older,yes
23,Private,54012,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,White,Male,0,0,60,United_States,30_and_younger,yes
26,Private,176520,HS_grad,9,Never_married,Adm_clerical,Not_in_family,White,Male,0,0,53,United_States,30_and_younger,yes
36,Private,185607,HS_grad,9,Never_married,Other_service,Unmarried,White,Female,0,0,30,United_States,30_to_60,yes
22,Private,374313,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,White,Male,0,0,50,United_States,30_and_younger,yes
40,Federal_gov,121012,Bachelors,13,Married_civ_spouse,Adm_clerical,Husband,White,Male,7298,0,48,United_States,30_to_60,yes
44,Private,98211,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,40,United_States,30_to_60,yes
22,Private,148187,11th,7,Never_married,Other_service,Other_relative,White,Male,0,0,40,United_States,30_and_younger,yes
57,Private,159319,Masters,14,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,50,United_States,30_to_60,yes
55,Self_emp_not_inc,170166,Bachelors,13,Married_civ_spouse,Exec_managerial,Wife,White,Female,0,0,25,United_States,30_to_60,yes
30,Private,296462,Masters,14,Never_married,Prof_specialty,Not_in_family,Black,Male,0,0,30,United_States,60_and_older,yes
31,Private,56510,Some_college,10,Married_civ_spouse,Craft_repair,Husband,Asian_Pac_Islander,Male,0,0,40,United_States,30_to_60,yes
58,Private,118303,HS_grad,9,Widowed,Sales,Not_in_family,White,Female,0,0,35,United_States,30_to_60,yes
41,Private,118853,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,0,0,40,United_States,30_to_60,yes
60,Private,53707,HS_grad,9,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,40,United_States,30_to_60,yes
38,Private,174717,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,0,0,50,United_States,30_to_60,yes
50,State_gov,24647,Some_college,10,Married_civ_spouse,Adm_clerical,Husband,White,Male,0,0,40,United_States,30_to_60,yes
38,Private,210866,HS_grad,9,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,44,United_States,30_to_60,yes
44,Local_gov,181344,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,Black,Male,0,0,38,United_States,30_to_60,yes
47,Local_gov,56482,Some_college,10,Married_civ_spouse,Prof_specialty,Husband,Black,Male,7688,0,50,United_States,30_to_60,yes
33,Private,254221,Doctorate,16,Never_married,Prof_specialty,Not_in_family,White,Female,0,0,60,United_States,30_to_60,yes
57,Self_emp_not_inc,138285,Assoc_acdm,12,Married_civ_spouse,Other_service,Husband,White,Male,0,0,40,Iran,30_to_60,yes
36,Private,290560,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,45,United_States,30_to_60,yes
42,Local_gov,117227,Masters,14,Divorced,Prof_specialty,Unmarried,White,Female,0,0,45,United_States,30_to_60,yes
36,Private,186865,Doctorate,16,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,60,United_States,30_to_60,yes
22,Private,361138,HS_grad,9,Never_married,Handlers_cleaners,Other_relative,White,Male,0,0,50,United_States,30_and_younger,yes
39,Private,225605,HS_grad,9,Married_civ_spouse,Farming_fishing,Husband,White,Male,0,0,24,United_States,30_to_60,yes
23,Private,210474,Some_college,10,Never_married,Other_service,Own_child,White,Female,0,0,30,United_States,30_and_younger,yes
52,Private,146378,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,30_to_60,yes
45,Federal_gov,170915,HS_grad,9,Divorced,Tech_support,Not_in_family,White,Female,4865,0,40,United_States,30_to_60,yes
23,Private,53306,HS_grad,9,Never_married,Craft_repair,Not_in_family,White,Male,0,0,30,United_States,30_and_younger,yes
24,Private,488541,Some_college,10,Never_married,Other_service,Unmarried,Black,Female,0,0,35,United_States,30_and_younger,yes
20,Private,190772,Assoc_acdm,12,Never_married,Other_service,Not_in_family,White,Female,0,0,40,United_States,30_and_younger,yes
35,Private,180137,Some_college,10,Divorced,Exec_managerial,Unmarried,White,Male,0,0,60,United_States,30_to_60,yes
21,Private,188535,HS_grad,9,Never_married,Machine_op_inspct,Not_in_family,White,Male,0,0,44,United_States,30_and_younger,yes
77,Private,187656,Some_college,10,Widowed,Priv_house_serv,Not_in_family,White,Female,0,0,20,United_States,60_and_older,yes
42,Private,99679,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,White,Male,0,0,60,United_States,30_to_60,yes
58,Private,236596,HS_grad,9,Married_civ_spouse,Adm_clerical,Husband,White,Male,0,0,45,United_States,30_to_60,yes
38,Local_gov,282753,Assoc_voc,11,Divorced,Exec_managerial,Own_child,White,Male,0,0,40,United_States,30_to_60,yes
26,State_gov,70447,HS_grad,9,Married_civ_spouse,Protective_serv,Husband,Asian_Pac_Islander,Male,0,0,40,United_States,30_and_younger,yes
50,Private,94885,Bachelors,13,Divorced,Prof_specialty,Not_in_family,White,Male,0,0,45,United_States,30_to_60,yes
34,Private,62374,HS_grad,9,Never_married,Craft_repair,Not_in_family,White,Male,0,0,48,United_States,30_to_60,yes
29,Private,149324,Some_college,10,Married_civ_spouse,Craft_repair,Husband,White,Male,0,1485,40,United_States,30_and_younger,yes
33,Private,181372,Masters,14,Married_civ_spouse,Exec_managerial,Wife,White,Female,0,0,50,United_States,30_to_60,yes
27,Private,167336,Some_college,10,Never_married,Adm_clerical,Not_in_family,White,Female,0,0,39,United_States,30_and_younger,yes
48,Private,177211,11th,7,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,40,United_States,30_to_60,yes
42,Federal_gov,557644,HS_grad,9,Never_married,Adm_clerical,Unmarried,White,Female,0,0,40,United_States,30_to_60,yes
