,ORDERKEY,CUSTKEY,ORDERSTATUS,TOTALPRICE,ORDERDATE,ORDERPRIORITY,CLERK,SHIPPRIORITY,COMMENT
60,229,111728,F,213076.69,757123200.0,1-URGENT,Clerk#000000628,0,he fluffily even instructions. furiously i
61,230,102535,F,171318.37,751680000.0,1-URGENT,Clerk#000000520,0,odolites. carefully quick requ
62,231,90818,F,191808.17,780796800.0,2-HIGH,Clerk#000000446,0, packages haggle slyly after the carefully ironic instruct
63,256,124831,F,130775.45,750988800.0,4-NOT SPECIFIED,Clerk#000000834,0,he fluffily final ideas might are final accounts. carefully f
64,257,122693,O,8649.81,891043200.0,3-MEDIUM,Clerk#000000680,0,ts against the sly warhorses cajole slyly accounts
65,258,41861,F,294182.42,757123200.0,1-URGENT,Clerk#000000167,0,dencies. blithely quick packages cajole. ruthlessly final accounts
66,259,43186,F,123298.34,749260800.0,4-NOT SPECIFIED,Clerk#000000601,0,ages doubt blithely against the final foxes. carefully express deposits dazzle
67,260,104728,O,272353.52,850176000.0,3-MEDIUM,Clerk#000000960,0,lently regular pinto beans sleep after the slyly e
68,261,46072,F,319306.86,741312000.0,3-MEDIUM,Clerk#000000310,0,ully fluffily brave instructions. furiousl
69,262,30352,O,143146.21,817257600.0,4-NOT SPECIFIED,Clerk#000000551,0,l packages. blithely final pinto beans use carefu
70,263,116069,F,149369.68,769132800.0,2-HIGH,Clerk#000000088,0, pending instructions. blithely un
71,288,7093,O,266047.6,856483200.0,1-URGENT,Clerk#000000109,0,"uriously final requests. even, final ideas det"
72,289,103750,O,211162.52,855532800.0,3-MEDIUM,Clerk#000000103,0,sily. slyly special excuse
73,290,117952,F,99019.42,757382400.0,4-NOT SPECIFIED,Clerk#000000735,0,efully dogged deposits. furiou
74,291,141050,F,108550.11,763516800.0,1-URGENT,Clerk#000000923,0,dolites. carefully regular pinto beans cajol
75,292,22252,F,40637.14,695260800.0,2-HIGH,Clerk#000000193,0,g pinto beans will have to sleep f
76,293,29929,F,58638.09,717984000.0,2-HIGH,Clerk#000000629,0,"re bold, ironic deposits. platelets c"
77,294,50498,F,49457.9,742780800.0,3-MEDIUM,Clerk#000000499,0,kly according to the frays. final dolphins affix quickly 
78,295,18985,F,130843.69,780796800.0,2-HIGH,Clerk#000000155,0, unusual pinto beans play. regular ideas haggle
79,320,302,O,53743.6,880070400.0,2-HIGH,Clerk#000000573,0,ar foxes nag blithely
80,321,122591,F,86823.16,732672000.0,3-MEDIUM,Clerk#000000289,0,equests run. blithely final dependencies after the deposits wake caref
81,322,133546,F,205623.5,700963200.0,1-URGENT,Clerk#000000158,0,fully across the slyly bold packages. packages against the quickly regular i
82,323,39133,F,119432.07,764640000.0,1-URGENT,Clerk#000000959,0,arefully pending foxes sleep blithely. slyly express accoun
83,324,105155,F,38451.38,701049600.0,1-URGENT,Clerk#000000352,0," about the ironic, regular deposits run blithely against the excuses"
84,325,40024,F,125113.94,750816000.0,5-LOW,Clerk#000000844,0,ly sometimes pending pa
85,326,75986,O,327413.14,802224000.0,2-HIGH,Clerk#000000466,0, requests. furiously ironic asymptotes mold carefully alongside of the blit
86,327,144598,P,38488.56,798076800.0,5-LOW,Clerk#000000992,0,ng the slyly final courts. slyly even escapades eat 
87,352,106456,F,28648.47,763084800.0,2-HIGH,Clerk#000000932,0,ke slyly bold pinto beans. blithely regular accounts against the spe
88,353,1777,F,249710.43,757296000.0,5-LOW,Clerk#000000449,0, quiet ideas sleep. even instructions cajole slyly. silently spe
89,354,138268,O,217160.72,826761600.0,2-HIGH,Clerk#000000511,0,ly regular ideas wake across the slyly silent ideas. final deposits eat b
90,355,70007,F,99516.75,771552000.0,5-LOW,Clerk#000000532,0,"s. sometimes regular requests cajole. regular, pending accounts a"
91,356,146809,F,209439.04,772934400.0,4-NOT SPECIFIED,Clerk#000000944,0,"as wake along the bold accounts. even, "
92,357,60395,O,157411.61,844819200.0,2-HIGH,Clerk#000000301,0,"e blithely about the express, final accounts. quickl"
93,358,2290,F,354132.39,748483200.0,2-HIGH,Clerk#000000392,0,"l, silent instructions are slyly. silently even de"
94,359,77600,F,239998.53,787795200.0,3-MEDIUM,Clerk#000000934,0,n dolphins. special courts above the carefully ironic requests use
95,384,113009,F,166753.71,699580800.0,5-LOW,Clerk#000000206,0,", even accounts use furiously packages. slyly ironic pla"
96,385,32947,O,54948.26,827452800.0,5-LOW,Clerk#000000600,0,hless accounts unwind bold pain
97,386,60110,F,110216.57,790992000.0,2-HIGH,Clerk#000000648,0, haggle quickly. stealthily bold asymptotes haggle among the furiously even re
98,387,3296,O,204546.39,854236800.0,4-NOT SPECIFIED,Clerk#000000768,0, are carefully among the quickly even deposits. furiously silent req
99,388,44668,F,198800.71,724464000.0,4-NOT SPECIFIED,Clerk#000000356,0,ar foxes above the furiously ironic deposits nag slyly final reque
100,389,126973,F,2519.4,761443200.0,2-HIGH,Clerk#000000062,0,"ing to the regular asymptotes. final, pending foxes about the blithely sil"
101,390,102563,O,269761.09,891907200.0,5-LOW,Clerk#000000404,0,"xpress asymptotes use among the regular, final pinto b"
102,391,110278,F,20890.17,785030400.0,2-HIGH,Clerk#000000256,0,orges thrash fluffil
103,416,40130,F,105675.2,749088000.0,5-LOW,Clerk#000000294,0, the accounts. fluffily bold depo
104,417,54583,F,125155.22,760492800.0,3-MEDIUM,Clerk#000000468,0,"ironic, even packages. thinly unusual accounts sleep along the slyly unusual "
105,418,94834,P,53328.48,797731200.0,4-NOT SPECIFIED,Clerk#000000643,0,. furiously ironic instruc
106,419,116261,O,165454.42,844128000.0,3-MEDIUM,Clerk#000000376,0,osits. blithely pending theodolites boost carefully
107,420,90145,O,343254.06,815097600.0,4-NOT SPECIFIED,Clerk#000000756,0,leep carefully final excuses. fluffily pending requests unwind carefully above
108,421,39149,F,1156.67,698716800.0,5-LOW,Clerk#000000405,0,"egular, even packages according to the final, un"
109,422,73075,O,188124.81,865036800.0,4-NOT SPECIFIED,Clerk#000000049,0,aggle carefully across the accounts. regular accounts eat fluffi
110,423,103396,O,50240.88,833587200.0,1-URGENT,Clerk#000000674,0,quests. deposits cajole quickly. furiously bold accounts haggle q
111,448,149641,O,165954.35,808963200.0,3-MEDIUM,Clerk#000000597,0," regular, express foxes use blithely. quic"
112,449,95767,O,71120.82,806198400.0,2-HIGH,Clerk#000000841,0,. furiously regular theodolites affix blithely 
113,450,47380,P,228518.02,794361600.0,4-NOT SPECIFIED,Clerk#000000293,0,d theodolites. boldly bold foxes since the pack
114,451,98758,O,141490.92,896054400.0,5-LOW,Clerk#000000048,0,nic pinto beans. theodolites poach carefully; 
115,452,59560,O,3270.2,876787200.0,1-URGENT,Clerk#000000498,0,"t, unusual instructions above the blithely bold pint"
116,453,44030,O,329149.33,864604800.0,5-LOW,Clerk#000000504,0,ss foxes. furiously regular ideas sleep according to t
117,454,48776,O,36743.83,820022400.0,5-LOW,Clerk#000000890,0,dolites sleep carefully blithely regular deposits. quickly regul
118,455,12098,O,183606.42,849657600.0,1-URGENT,Clerk#000000796,0, about the final platelets. dependen
119,480,71383,F,23699.64,736819200.0,5-LOW,Clerk#000000004,0,ealthy pinto beans. fluffily regular requests along the special sheaves wake 
120,481,30352,F,201254.08,718502400.0,2-HIGH,Clerk#000000230,0,ly final ideas. packages haggle fluffily
121,482,125059,O,182312.78,827798400.0,1-URGENT,Clerk#000000295,0,ts. deposits wake: final acco
122,483,34820,O,70146.28,805420800.0,2-HIGH,Clerk#000000025,0,cross the carefully final e
123,484,54244,O,327889.57,852249600.0,3-MEDIUM,Clerk#000000545,0,"grouches use. furiously bold accounts maintain. bold, regular deposits"
124,485,100561,O,192867.3,859334400.0,2-HIGH,Clerk#000000105,0, regular ideas nag thinly furiously s
125,486,50861,O,284644.07,826502400.0,4-NOT SPECIFIED,Clerk#000000803,0,riously dolphins. fluffily ironic requ
126,487,107825,F,90657.45,714096000.0,1-URGENT,Clerk#000000086,0,ithely unusual courts eat accordi
127,512,63022,P,194834.4,800928000.0,5-LOW,Clerk#000000814,0,ding requests. carefully express theodolites was quickly. furious
128,513,60569,O,105559.7,799286400.0,2-HIGH,Clerk#000000522,0,regular packages. pinto beans cajole carefully against the even
129,514,74872,O,154735.68,828576000.0,2-HIGH,Clerk#000000094,0, cajole furiously. slyly final excuses cajole. slyly special instructions 
130,515,141829,F,244660.33,746582400.0,4-NOT SPECIFIED,Clerk#000000700,0,eposits are furiously furiously silent pinto beans. pending pack
131,516,43903,O,21920.56,893116800.0,2-HIGH,Clerk#000000305,0,"lar, unusual platelets are carefully. even courts sleep bold, final pinto bea"
132,517,9220,O,121396.01,860371200.0,5-LOW,Clerk#000000359,0,slyly pending deposits cajole quickly packages. furiou
133,518,144382,O,355180.76,886896000.0,2-HIGH,Clerk#000000768,0, the carefully bold accounts. quickly regular excuses are
134,519,62953,O,161219.18,878256000.0,1-URGENT,Clerk#000000985,0,ains doze furiously against the f
135,544,93385,F,69323.15,729907200.0,2-HIGH,Clerk#000000145,0,"the special, final accounts. dogged dolphins"
136,545,63143,O,28984.07,815702400.0,2-HIGH,Clerk#000000537,0,as. blithely final hockey players about th
137,546,143224,O,23566.29,846806400.0,2-HIGH,Clerk#000000041,0,osits sleep. slyly special dolphins about the q
138,547,98209,O,149446.88,835401600.0,3-MEDIUM,Clerk#000000976,0,ing accounts eat. carefully regular packa
139,548,123823,F,165456.46,780105600.0,1-URGENT,Clerk#000000435,0,arefully express instru
140,549,109921,F,196410.67,710985600.0,1-URGENT,Clerk#000000196,0,ideas alongside of 
141,550,23524,O,42415.31,807321600.0,1-URGENT,Clerk#000000204,0,t requests. blithely 
142,551,89608,O,71032.36,801792000.0,1-URGENT,Clerk#000000179,0,xpress accounts boost quic
143,576,29518,O,26276.64,863481600.0,3-MEDIUM,Clerk#000000955,0,l requests affix regular requests. final account
144,577,55126,F,58874.63,787795200.0,5-LOW,Clerk#000000154,0, deposits engage stealthil
145,578,92582,O,93874.88,852854400.0,5-LOW,Clerk#000000281,0,e blithely even packages. slyly pending platelets bes
146,579,67057,O,161591.06,889574400.0,2-HIGH,Clerk#000000862,0, regular instructions. blithely even p
147,580,59221,O,137666.81,868060800.0,2-HIGH,Clerk#000000314,0,tegrate fluffily regular accou
148,581,68734,O,180542.57,856656000.0,4-NOT SPECIFIED,Clerk#000000239,0, requests. even requests use slyly. blithely ironic 
149,582,49358,O,181843.8,877392000.0,1-URGENT,Clerk#000000378,0,n pinto beans print a
150,583,47125,O,185521.56,858729600.0,3-MEDIUM,Clerk#000000792,0,efully express requests. a
151,608,25961,O,85399.2,825465600.0,3-MEDIUM,Clerk#000000995,0,nic waters wake slyly slyly expre
152,609,125122,F,32712.15,770428800.0,3-MEDIUM,Clerk#000000348,0,- ironic gifts believe furiously ca
153,610,50665,O,278270.15,807321600.0,1-URGENT,Clerk#000000610,0,"totes. ironic, unusual packag"
154,611,105497,F,127852.7,728092800.0,1-URGENT,Clerk#000000401,0,ounts detect furiously ac
155,612,81430,F,212763.09,719625600.0,3-MEDIUM,Clerk#000000759,0,boost quickly quickly final excuses. final foxes use bravely afte
156,613,138254,O,38120.35,803433600.0,2-HIGH,Clerk#000000172,0,ts hinder among the deposits. fluffily ironic depos
157,614,133288,F,337176.45,723168000.0,2-HIGH,Clerk#000000388,0," deposits! even, daring theodol"
158,615,65407,F,50707.14,705369600.0,5-LOW,Clerk#000000388,0,t to promise asymptotes. packages haggle alongside of the fluffil
159,640,95138,F,238520.33,727747200.0,2-HIGH,Clerk#000000433,0,"r, unusual accounts boost carefully final ideas. slyly silent theod"
160,641,132805,F,169757.6,746668800.0,5-LOW,Clerk#000000175,0,ents cajole furiously about the quickly silent pac
161,642,39907,F,38023.78,756000000.0,3-MEDIUM,Clerk#000000357,0, among the requests wake slyly alongside of th
162,643,57772,P,254060.24,796089600.0,2-HIGH,Clerk#000000354,0,g dependencies. regular accounts 
163,644,7370,F,272383.85,704678400.0,1-URGENT,Clerk#000000550,0," blithely unusual platelets haggle ironic, special excuses. excuses unwi"
164,645,114224,F,346179.67,786412800.0,2-HIGH,Clerk#000000090,0,quickly daring theodolites across the regu
165,646,50417,F,236726.73,785462400.0,2-HIGH,Clerk#000000203,0,carefully even foxes. fina
166,647,142930,O,82009.52,870912000.0,1-URGENT,Clerk#000000270,0,egular pearls. carefully express asymptotes are. even account
167,672,108085,F,117034.85,766281600.0,5-LOW,Clerk#000000106,0,egular requests are furiously according to 
168,673,79148,F,31899.02,763257600.0,1-URGENT,Clerk#000000448,0, special pinto beans use quickly furiously even depende
169,674,33130,F,36846.48,715046400.0,5-LOW,Clerk#000000448,0,ully special deposits. furiously final warhorses affix carefully. fluffily f
170,675,11704,O,206195.97,870307200.0,2-HIGH,Clerk#000000168,0,ffily between the careful
171,676,37930,O,251888.78,850435200.0,2-HIGH,Clerk#000000248,0,"the final deposits. special, pending"
172,677,123877,F,222824.61,754099200.0,3-MEDIUM,Clerk#000000824,0,uriously special pinto beans cajole carefully. fi
173,678,130645,F,185606.97,730771200.0,5-LOW,Clerk#000000530,0,. blithely final somas about the
174,679,48494,O,15157.64,818985600.0,2-HIGH,Clerk#000000853,0,"tealthy, final pinto beans haggle slyly. pending platelets about the special, "
175,704,84352,O,107139.07,848534400.0,3-MEDIUM,Clerk#000000682,0,"blithely pending platelets wake alongside of the final, iron"
176,705,42706,O,105761.54,855792000.0,4-NOT SPECIFIED,Clerk#000000294,0,"ithely regular dependencies. express, even packages sleep slyly pending t"
177,706,147367,O,37704.79,810604800.0,1-URGENT,Clerk#000000448,0,g the packages. deposits caj
178,707,116150,F,98435.28,785289600.0,3-MEDIUM,Clerk#000000199,0," ideas about the silent, bold deposits nag dolphins"
179,708,31534,O,133960.4,899424000.0,3-MEDIUM,Clerk#000000101,0,lphins cajole about t
180,709,36029,O,90778.89,893116800.0,1-URGENT,Clerk#000000461,0,ons alongside of the carefully bold pinto bea
181,710,131137,F,295703.61,725932800.0,5-LOW,Clerk#000000026,0," regular, regular requests boost. fluffily re"
182,711,63673,F,124433.21,748742400.0,4-NOT SPECIFIED,Clerk#000000856,0,its. fluffily regular gifts are furi
183,736,46354,O,176984.57,898387200.0,5-LOW,Clerk#000000881,0,refully of the final pi
184,737,119666,F,22759.44,704246400.0,5-LOW,Clerk#000000233,0,"ake blithely express, ironic theodolites. blithely special accounts wa"
185,738,20752,F,172540.42,731030400.0,4-NOT SPECIFIED,Clerk#000000669,0,ly even foxes. furiously regular accounts cajole ca
186,739,307,O,243259.37,896572800.0,5-LOW,Clerk#000000900,0, against the slyly ironic packages nag slyly ironic
187,740,43417,O,96016.31,805852800.0,3-MEDIUM,Clerk#000000583,0,"courts haggle furiously across the final, regul"
188,741,104491,O,66343.8,899769600.0,2-HIGH,Clerk#000000295,0,ic instructions. slyly express instructions solv
189,742,102838,F,305886.71,788140800.0,5-LOW,Clerk#000000543,0,equests? slyly ironic dolphins boost carefully above the blithely
190,743,78322,O,33545.04,844387200.0,4-NOT SPECIFIED,Clerk#000000933,0,eans. furiously ironic deposits sleep carefully carefully qui
191,768,97054,O,350817.47,840499200.0,3-MEDIUM,Clerk#000000411,0,jole slyly ironic packages. slyly even idea
192,769,79987,F,45812.47,738979200.0,3-MEDIUM,Clerk#000000172,0,ggle furiously. ironic packages haggle slyly. bold platelets affix s
193,770,31909,O,75639.7,895881600.0,5-LOW,Clerk#000000572,0,heodolites. furiously special pinto beans cajole pac
194,771,44542,O,169115.42,803347200.0,1-URGENT,Clerk#000000105,0,s. furiously final instructions across the deposit
195,772,96496,F,192141.04,735004800.0,2-HIGH,Clerk#000000430,0,s boost blithely fluffily idle ideas? fluffily even pin
196,773,131834,F,173949.22,749001600.0,3-MEDIUM,Clerk#000000307,0,"tions are quickly accounts. accounts use bold, even pinto beans. gifts ag"
197,774,79582,O,221514.77,818035200.0,1-URGENT,Clerk#000000883,0,tealthily even depths
198,775,133180,F,76542.35,795484800.0,1-URGENT,Clerk#000000191,0,kly express requests. fluffily silent accounts poach furiously
199,800,55940,O,127353.1,900374400.0,2-HIGH,Clerk#000000213,0,y alongside of the pending packages? final platelets nag fluffily carefu
200,801,117790,F,184316.4,698371200.0,1-URGENT,Clerk#000000186,0,iously from the furiously enticing reques
201,802,136685,F,266057.18,789264000.0,1-URGENT,Clerk#000000516,0,"posits. ironic, pending requests cajole. even theodol"
202,803,14365,O,46420.95,862272000.0,5-LOW,Clerk#000000260,0,ic instructions. even deposits haggle furiously at the deposits-- regular de
203,804,49969,F,137127.01,731894400.0,3-MEDIUM,Clerk#000000931,0,s. blithely final foxes are about the packag
204,805,126001,O,141519.4,804902400.0,4-NOT SPECIFIED,Clerk#000000856,0,y according to the fluffily 
205,806,130741,O,44387.52,835228800.0,2-HIGH,Clerk#000000240,0, the ironic packages wake carefully fina
206,807,143524,F,330203.94,754099200.0,3-MEDIUM,Clerk#000000012,0,refully special tithes. blithely regular accoun
207,832,28921,F,121528.13,703641600.0,5-LOW,Clerk#000000495,0,xes. bravely regular packages sleep up the furiously bold accou
208,833,55240,F,82735.33,761097600.0,3-MEDIUM,Clerk#000000437,0,ts haggle quickly across the slyl
209,834,42754,F,60758.34,769651200.0,3-MEDIUM,Clerk#000000805,0, sleep. quickly even foxes are boldly. slyly express requests use slyly
210,835,64754,O,91841.21,813110400.0,4-NOT SPECIFIED,Clerk#000000416,0,s about the carefully special foxes haggle quickly about the
211,836,68782,O,119120.78,848880000.0,4-NOT SPECIFIED,Clerk#000000729,0,ely bold excuses sleep regular ideas. furiously unusual ideas wake furiou
212,837,115846,F,91495.19,771638400.0,4-NOT SPECIFIED,Clerk#000000563,0,"kages sleep slyly above the ironic, final orbits"
213,838,16336,O,123076.73,886032000.0,5-LOW,Clerk#000000213,0, slyly around the slyly even
214,839,27881,O,85422.02,807840000.0,1-URGENT,Clerk#000000951,0,the carefully even platelets. furiously unusual fo
215,864,137729,O,113810.95,871776000.0,1-URGENT,Clerk#000000036,0,"ly after the slyly regular deposits. express, regular asymptotes nag ca"
216,865,2537,F,89144.19,736473600.0,3-MEDIUM,Clerk#000000337,0,. special packages wake after the carefully final accounts. express pinto be
217,866,38299,F,7998.02,722908800.0,3-MEDIUM,Clerk#000000718,0,"ins after the even, even accounts nod blithel"
218,867,25130,F,13207.24,753408000.0,3-MEDIUM,Clerk#000000877,0,"pades nag quickly final, "
219,868,103501,F,170831.61,708048000.0,4-NOT SPECIFIED,Clerk#000000782,0,onic theodolites print carefully. blithely dogge
220,869,134617,O,68638.94,853027200.0,2-HIGH,Clerk#000000245,0,ar sheaves are slowly. slyly even attainments boost theodolites. furiously
221,870,32185,F,48718.44,740534400.0,4-NOT SPECIFIED,Clerk#000000123,0,"blithely ironic ideas nod. sly, r"
222,871,14423,O,274343.38,816393600.0,5-LOW,Clerk#000000882,0,oss the ironic theodolites.
223,896,1646,F,285882.29,731635200.0,1-URGENT,Clerk#000000187,0,inal packages eat blithely according to the warhorses. furiously quiet de
224,897,48931,P,77590.87,795657600.0,1-URGENT,Clerk#000000316,0, wake quickly against 
225,898,53575,F,130445.64,739065600.0,2-HIGH,Clerk#000000611,0,. unusual pinto beans haggle quickly across 
226,899,108485,O,154199.5,891993600.0,5-LOW,Clerk#000000575,0,rts engage carefully final theodolites.
227,900,45805,F,176247.47,780969600.0,4-NOT SPECIFIED,Clerk#000000060,0, fluffily express deposits nag furiousl
228,901,11255,O,118682.69,900979200.0,4-NOT SPECIFIED,Clerk#000000929,0,"lyly even foxes are furious, silent requests. requests about the quickly "
229,902,8515,F,61110.53,775267200.0,4-NOT SPECIFIED,Clerk#000000811,0,yly final requests over the furiously regula
230,903,10876,O,161961.88,805075200.0,4-NOT SPECIFIED,Clerk#000000793,0,e slyly about the final pl
231,928,65630,F,331325.36,794102400.0,5-LOW,Clerk#000000450,0,ithely express pinto beans. 
232,929,82661,F,151170.57,717984000.0,2-HIGH,Clerk#000000160,0,its. furiously even foxes affix carefully finally silent accounts. express req
233,930,130952,F,277890.79,787622400.0,1-URGENT,Clerk#000000004,0," accounts nag slyly. ironic, ironic accounts wake blithel"
234,931,102889,F,155527.98,723686400.0,1-URGENT,Clerk#000000881,0,"ss packages haggle furiously express, regular deposits. even, e"
235,932,40321,O,72741.24,863740800.0,2-HIGH,Clerk#000000218,0,ly express instructions boost furiously reg
236,933,95348,F,85813.96,712972800.0,4-NOT SPECIFIED,Clerk#000000752,0,ial courts wake permanently against the furiously regular ideas. unusual 
237,934,51295,O,32426.69,836352000.0,1-URGENT,Clerk#000000229,0,"ts integrate carefully. sly, regular deposits af"
